Business name,Address,Phone Number,Rating,Url,Review
Supersonic,"No. 8, Dr. M. Laurel Drive, Fortunate Village, Gate IV Maysan, Valenzuela City 1440 Metro Manila",+63(2)82927015,5.0  (3),https://www.yellow-pages.ph/business/supersonic-multi-products-sales-incorporated/reviews,The staff are really friendly and accommodating when it comes to inquiries. The prices are really affordable too. Awesome people.
Micronphil Industrial Sales,"Unit 1 D, ACR Building, 6, Zabarte Avenue, Barangay Kaligayahan, Novaliches, Quezon City 1124  Metro Manila",+63(2)89612881,5.0  (3),https://www.yellow-pages.ph/business/micronphil-industrial-sales-company/reviews,A reputable and competitive company servicing the surface preparation industry with a complete range of quality products and equipments.
Js Wallmatrix Marketing,"203, N. Domingo corner H. Lozada Streets, San Juan City 1500 Metro Manila",+63(2)87260001,5.0  (3),https://www.yellow-pages.ph/business/js-wallmatrix-marketing/reviews,They really have a great taste of carpets and window blinds! See for yourselves guys and find a good match=)
International Spring Industries,"3, Liko St. corner Mariveles St., Highway Hills, Mandaluyong City 1550  Metro Manila",+63(2)85336499,5.0  (3),https://www.yellow-pages.ph/business/international-spring-industries/reviews,best quality ; best service
Hyco,"1195-1199, Jose Abad Santos Avenue, Tondo, City of Manila 1012  Metro Manila",+63(2)82533440,5.0  (3),https://www.yellow-pages.ph/business/hi-q-commercial-incorporated/reviews,Hi-Q and Hyco have a variety of flavorings and seasonings needed by any food companies and culinary schools. High-class and always available. The accommodating staff is also a plus!
"A. R.T. Belarmino & Company, Cpas","691 Area A Zabarte Road, Diamond Drive, Camarin, Caloocan City  Metro Manila",+63(2)84045965,5.0  (3),https://www.yellow-pages.ph/business/a-rt-belarmino-company-cpas/reviews, 
Multi-Forms,"13, Gregorio H. Del Pilar Street, Quezon City 1105 Metro Manila",+63(2)83762247,5.0  (3),https://www.yellow-pages.ph/business/multi-forms-corporation/reviews,"Multi Forms has been in the printing industry for centuries now, thus will only deliver quality service."
Basic Machinery & Acoustics,"Suite 103 Tower Ground, M.C.S. Tower Makati Cinema Square Complex, Chino Roces Avenue, Makati City 1231  Metro Manila",+63(2)88111572,5.0  (2),https://www.yellow-pages.ph/business/basic-machinery-acoustics/reviews,Quality products!
Doron Builders & Construction Supplies Limited Company,"Lot 8 Block 1, Jasmin Street, Sampaguita Subdivision, Camarin, Caloocan City 1400  Metro Manila",+63(2)89622882,5.0  (2),https://www.yellow-pages.ph/business/doron-builders-construction-supplies-limited-company/reviews, 
AC Harris Cable,"5, Pio del Pilar corner Magat Salamat Streets, Concepcion II, Marikina City 1800  Metro Manila",+63(02)89412969,5.0  (2),https://www.yellow-pages.ph/business/ac-harris-cable/reviews, 
En-Tire Car Care Centre,"44, N. Roxas corner Apo Street, Brgy Sta Teresita, Quezon City 1114 Metro Manila",+63(02)87321173,5.0  (2),https://www.yellow-pages.ph/business/en-tire-car-care-centre-inc/reviews,Good service! Fast and efficient!
Delta Star Power Engineering,"1613, Samuel Street, Jordan Plaines, Novaliches Proper, Quezon City 1123  Metro Manila",+63(2)89395431,5.0  (2),https://www.yellow-pages.ph/business/delta-star-power-manufacturing-corporation/reviews,Quality Transformer & Good after sale service
Stronghold Bolts & Nuts,"445E, EDSA, Pasay City 1300 Metro Manila",+63(2)8891220,5.0  (2),https://www.yellow-pages.ph/business/stronghold-bolts-nuts-corporation/reviews,A wide variety of bolts and nuts. Great Materials! 
Dominic Construction,"229-A, Basilan corner Talayan Streets, Mandaluyong City 1550  Metro Manila",+63(2)34702297,5.0  (2),https://www.yellow-pages.ph/business/dominic-construction-incorporated/reviews,have been in the contractors and builders industry for so long. they continuously give quality services to their clients. totally worth your money.
Thermotrol Electrical Sales And Services,"235-J, MacArthur Highway, Valenzuela City 1440  Metro Manila",+63(2)82915259,5.0  (2),https://www.yellow-pages.ph/business/thermotrol-electrical-sales-and-services/reviews, 
Liberty Corrugated Boxes Manufacturing,"40, Governor Pascual Avenue corner Atis Road, Potrero, Malabon City 1475  Metro Manila",+63(2)83612541,5.0  (2),https://www.yellow-pages.ph/business/liberty-corrugated-boxes-manufacturing-corporation/reviews,"Bikers, get in touch with them, they are currently in the process of producing a bike box. Highly recommended for bikers that need to transport their bikes. Very good alternative to expensive ones available in the market."
Golden Electrical And Machinery Corp.,"1270, C.M. Recto Avenue, City of Manila 1006  Metro Manila",+63(2)82446173,5.0  (2),https://www.yellow-pages.ph/business/golden-electrical-and-machinery-corp-2/reviews,complete and affordable machine tools and best dealer of electric motors. good repairing services.
RSL Pamatay Sunog Enterprises,"373 Unit 3, A. Bonifacio Avenue corner Mauban Street, Barangay San Jose, Quezon City 1100  Metro Manila",+63(2)87096118,5.0  (2),https://www.yellow-pages.ph/business/rsl-pamatay-sunog-enterprises/reviews,High quality products and staff are very accomodating. Their products are also affordable.
Lcsn Express Movers,"Block 18 Lot 17, 19 & 21, BF Martinville Subdivision, Barangay Manuyo Dos, Las Pinas City 1744  Metro Manila",+63(2)84018138,5.0  (2),https://www.yellow-pages.ph/business/lcsn-express-movers-incorporated/reviews,"Many Companies trust LCSN EXPRESS MOVERS, INC. for its Reliability and fast delivery of items. LCSN offers Land, via Air, and Water cargo delivery and even door-to-door delivery. For those who are looking for a safe and reliable freight mover, LCSN is a Must Try!!"
Integrated Rentals,"59, Robert corner Williams Streets, Barangay San Jose, Pasay City 1235  Metro Manila",+63(2)85501119,5.0  (2),https://www.yellow-pages.ph/business/integrated-rentals-inc/reviews,They have a very good fleet service for companies that do not want to worry about maintenance and capital expenditures. Cost effective. And their drivers are dependable and efficient.
Ceo Suite Manila,"37 / F, LKG Tower, 6801 Ayala Avenue, Makati City, Metro Manila",+63(906)4050419,5.0  (2),https://www.yellow-pages.ph/business/ceo-suite-philippine-branch/reviews,Excellent serviced and assistance to clients need.
Standard Overseas Business,"44, San Antonio Street, Barangay San Antonio, Quezon City 1100  Metro Manila",+63(2)8374164,5.0  (2),https://www.yellow-pages.ph/business/standard-overseas-business-corporation/reviews, 
Tanlimco Brothers,"313, Escolta corner Yuchengo Streets, Binondo, City of Manila 1000 Metro Manila",+63(02)82412863,5.0  (1),https://www.yellow-pages.ph/business/tanlimco-brothers-incorporated/reviews,one of the pioneer in sewing machines business and much cheaper in service and products.
Switch Sales International,"1384, Araneta Avenue, Quezon City 1100 Metro Manila",+63(02)8732370,5.0  (1),https://www.yellow-pages.ph/business/switch-sales-international/reviews, 
Polygenesis Commercial,"Unit 1 G/F, One Binondo Place, 567, San Nicolas corner Ilang-ilang Streets, City of Manila 1006  Metro Manila",+63(2)82423296,5.0  (1),https://www.yellow-pages.ph/business/polygenesis-commercial/reviews, 
Japan Parts Trading Center,"1273, C. M. Recto Avenue, City of Manila 1000  Metro Manila",+63(2)82557777,5.0  (1),https://www.yellow-pages.ph/business/japan-parts-trading-center/reviews,Has a variety and high-quality bearings. Both for Industrial and Automotive bearings. Always on-the-go to serve you!
International Stainless Products Manufacturing,"21, MGM Industrial Compound, Sitio Gitna Road, Bo. Kaybiga, Caloocan City 1400  Metro Manila",+63(2)89373737,5.0  (1),https://www.yellow-pages.ph/business/international-stainless-products-manufacturing-corporation/reviews,Offers affordable yet high-quality stainless steel water storage tanks for all.
Everbright Net And Twine Manufacturing,"Edison Avenue, Paranaque City 1700  Metro Manila",+63(02)88241619,5.0  (1),https://www.yellow-pages.ph/business/everbright-net-and-twine-manufacturing-corporation/reviews, 
Condesa Stationery,"G/F, Wellington Building, 611, Norberto Ty Street, Binondo, City of Manila 1006  Metro Manila",+63(2)82433512,5.0  (1),https://www.yellow-pages.ph/business/condesa-stationery-incorporated/reviews,Has all office and school supplies you need. You'll find anything and everything in here.
Philippine Bed And Furniture Manufacturing,"27 G. Molina Street, Canumay East, Valenzuela City, Metro Manila",+63(632)2776582,5.0  (1),https://www.yellow-pages.ph/business/philippine-bed-and-furniture-manufacturing-corporation-3/reviews,Quality mattresses at affordable prices. check out their year end sale!
Versatemp,"162, Mabini Street,  Addition Hills, San Juan City 1556 Metro Manila",+63(2)87269246,5.0  (1),https://www.yellow-pages.ph/business/versatemp-corporation/reviews, 
Danitech Power System,"Block 11 Lot 15-A, Talisay Street, Amparo Subdivision, North, Caloocan City 1425  Metro Manila",+63(2)89628239,5.0  (1),https://www.yellow-pages.ph/business/danitech-power-system-incorporated/reviews,"If you're thinking of putting in the electrical system of your newly constructed home, Danitech Power System is NOT the right contractor since they are the powerhouse in electrical and power systems, they handle high voltage facilities, transformers  and power generating plants to mention a few, they also have a 24/7 emergency response system. A  high level of service quality is a must for public-related services offered by Danitech. We also tried their products in our office."
Md Laquindanum Trucking,"68, Road 18 Extension, San Jose Village, Project 8, Quezon City 1106  Metro Manila",+63(02)89206784,5.0  (1),https://www.yellow-pages.ph/business/md-laquindanum-trucking-incorporated/reviews,"Good service provider!!! reasonable price, Mabilis kausap!!!!"
Ivm Enterprises And Development,"3/F, RCDC Building, 154, Roosevelt Avenue, Barangay Paraiso, Quezon City 1100 Metro Manila",+63(2)83717571,5.0  (1),https://www.yellow-pages.ph/business/ivm-entreprises-devt-corp/reviews,High quality products at very affordable prices. Accomodating staff as well!
"Toprite Plastic Industries, Inc.","292, E. Miranda Street, Paso De Blas, Valenzuela City 1208 Metro Manila",+63(2)82942804,5.0  (1),https://www.yellow-pages.ph/business/toprite-plastic-industries-inc/reviews,two thumbs up for best quality of products :)
Oberly And Company,"17, Labo Street, Barangay San Isidro, Quezon City 1113 Metro Manila",+63(2)87401595,5.0  (1),https://www.yellow-pages.ph/business/oberly-and-company-incorporated/reviews,Very useful and good quality. Highly Recommended.
Hiyas Press,"Abiva Building, 851, G. Araneta Avenue, Quezon City 1113  Metro Manila",+63(2)87406589,5.0  (1),https://www.yellow-pages.ph/business/hiyas-press-inc-3/reviews,"These guys are great! They do great work (I have used them for postcards) and are reasonably priced, plus they are great with responding to the thousands of questions I ask about everything. Super professional and cool."
Ab Solis Trucking,"25, 11th Street corner 12 Street, Damayang Lagi, New Manila, Quezon City 1550  Metro Manila",+63(2)86377362,5.0  (1),https://www.yellow-pages.ph/business/ab-solis-trucking/reviews, 
Willshine Enterprise Company,"Unit 2B, 1, Kay Talise Street corner Sison Road, Barangay San Dionisio, Paranaque City 1700  Metro Manila",+63(2)77535501,5.0  (1),https://www.yellow-pages.ph/business/willshine-enterprise-company-2/reviews,BUY AND SELL RUBBER FUEL OIL
Fulton Industrial Supply Enterprises Philippines,"1233, Benavidez Street, Sta. Cruz, City of Manila 1003  Metro Manila",+63(2)82548739,5.0  (1),https://www.yellow-pages.ph/business/fulton-industrial-supply-enterprises-philippines-incorporated/reviews,good quality of sewing machines. much cheaper than any store. free estimate.
Nanding's Steel Beds,"1643, Crisostomo corner Makiling Streets, Sampaloc, City of Manila 1015  Metro Manila",+63(02)87415230,5.0  (1),https://www.yellow-pages.ph/business/nanding-s-steel-beds/reviews,High quality beds for your home and rentals. Very friendly staff as well. :)
Caloocan Oil Seal,"Unit 78, Gracepark Commercial Complex, 4th Avenue, Caloocan City 1403  Metro Manila",+63(2)83659366,5.0  (1),https://www.yellow-pages.ph/business/caloocan-oil-seal-corporation/reviews,"A sister company of Manila Oil Seal, Caloocan Oil Seal promises to offer the same quality products."
Tiffany Stained Glass & Aluminum Company,"Unit 6 G/F, San Diego Fishery Building, 462, Carlos Palanca Street, Quiapo, City of Manila 1001  Metro Manila",+63(02)84016714,5.0  (1),https://www.yellow-pages.ph/business/tiffany-stained-glass-and-aluminum-company-incorporated/reviews, 
Mass V Group,"3/F, MVGI Building, 34, Congressional Avenue, Project 8, Quezon City 1106  Metro Manila",+63(2)34547355,5.0  (1),https://www.yellow-pages.ph/business/mass-v-group-incorporated/reviews,Trusted in the business. Reliable. Quality at its best. That's MASS V GROUP- Automotive Batteries that keep you going.
Geotesting International,"5550-B, Boyle Street, Palanan, Makati City 1235  Metro Manila",+63(2)88331611,5.0  (1),https://www.yellow-pages.ph/business/geotesting-international-inc/reviews,reliable service for soil testing! call them now.
Cortransport,"9, Marian Road II, East Service Road, Barangay San Martin De Porres, Paranaque City, Metro Manila",+63(2)88089181,5.0  (1),https://www.yellow-pages.ph/business/cortransport-corporation/reviews,Their services are very good. The staff was very accommodating and all of our transactions went smoothly.
Century Precision Scale Manufacturing,"15, Tuazon Avenue corner Nangka Road, Potrero, Malabon City 1475  Metro Manila",+63(02)83613979,5.0  (1),https://www.yellow-pages.ph/business/precision-scale-manufacturing/reviews,Great customer service!
Letech Manufacturing,"6-A, Mariano Ponce Street, Caloocan City, Metro Manila",+63(02)83642762,5.0  (1),https://www.yellow-pages.ph/business/letech-manufacturing-corporation/reviews,Wide Variety and high quality plastic products and very affordable.
Crl Environmental,"Unit 609, Cityland 10 Tower 1, H.V. Dela Costa Street corner Ayala Avenue, Makati City 1200  Metro Manila",+63(2)88133726,5.0  (1),https://www.yellow-pages.ph/business/crl-environmental-corporation/reviews, 
Bearing Kingdom Industrial Equipment Trading,"1144, C.M. Recto Avenue, Binondo, City of Manila 1006  Metro Manila",+63(2)82549086,5.0  (1),https://www.yellow-pages.ph/business/bearing-kingdom-industrial-equipment-trading/reviews,"If your looking for quality bearings, Bearing Kingdom isthe perfect store for all your Bearing needs!"
Techglobal,"506, Ilang-Ilang Street, Barangay 281 Zone 26, San Nicolas, City of Manila 1010 Metro Manila",+63()9988757,5.0  (1),https://www.yellow-pages.ph/business/techglobal-incorporated/reviews,I am very satisfied with the water quality and supply in my new condo unit at the Beacon Residence. The high-quality eco-friendly and non-toxic water system installation is provided by Techglobal Incorporated.
Gl Manila,"Unit 2014, 20/F, Medical Plaza Makati Condo,  Amorsolo corner Dela Rosa Streets, Legaspi Village, Makati City 1229 Metro Manila",+63(2)85551418,5.0  (1),https://www.yellow-pages.ph/business/gl-inc-accounting-services-cooperative/reviews,Their accounting services was great.. Thumbs Up for you guys.
Sas Smart Account Solution,"32 C, Cityland Condominium 8, 98 Sen Gil Puyat Avenue, Makati City 1200 Metro Manila",+63(2)75013248,5.0  (1),https://www.yellow-pages.ph/business/sas-smart-account-soultion-co-ltd/reviews,"SAS - Solution Leader in Accounting services, Bookkeeping, Auditing, Outsourcing & Tax consultancy"
Esquire Financing,"31st Floor Penthouse, High Street South Corporate Plaza Tower 1, 26th Street, BGC, Fort Bonifacio, Taguig City 1634 Metro Manila",+63(02)88118888,5.0  (1),https://www.yellow-pages.ph/business/esquire-financing-incorporated/reviews, They have been very responsive and helpful whenever we have questions or need assistance. good job! :)
Aceg Steel,"34, Facilities Centre Building, Shaw Boulevard, Mandaluyong City 1550 Metro Manila",+63(2)85311236,5.0  (1),https://www.yellow-pages.ph/business/aceg-steel-products-incorporated/reviews,They have all kinds of insulating material
Pricewaterhousecoopers Consulting,"29th Floor, Philamlife Tower, 8767 Paseo de Roxas, Makati City, Metro Manila",+63(2)88452728,5.0  (1),https://www.yellow-pages.ph/business/pricewaterhousecoopers-financial-advisors-inc/reviews,Friendly and Approachable Staff! 
Adams Technical Supply,"708, Victoria Avenue Corner Escuella Street, Intramuros, City of Manila 1000 Metro Manila",+63(02)85275165,5.0  (1),https://www.yellow-pages.ph/business/adams-technical-supply/reviews,"Adams sells a wide variety of school supplies especially engineering materials at a very low price. Located inside Intramuros, near  Manila Highschool."
Proaccess Business Services,"1100, 88 Corporate Center,  Sedeno corner Valero Streets, Salcedo Village, Makati City 1227 Metro Manila",+63(2)79082500,5.0  (1),https://www.yellow-pages.ph/business/proaccess-business-services-incorporated-2/reviews,"I worked in a call center for a long time and I am convinced that the office space of each agent is important for them to perform well in their tasks. The office I am working at got its partitions and desks from PROACCESS BUSINESS SERVICES, INC. The partitions look good and and are durable, plus, the phones ca be strategically placed on the tables. It is spacious enough to accommodate a desktop."
Active Business Solutions,"5/F, Lepanto Building, 8747 Paseo De Roxas, Makati City 1226 Metro Manila",+63(2)88931111,5.0  (1),https://www.yellow-pages.ph/business/active-business-solutions-inc/reviews,Services are reliable and fast!
DPC,"15/F, DPC Place Building, 2322, Chino Roces Avenue Extension, Makati City 0788 Metro Manila",+63(2)85558570 loc. 8790,4.8  (25),https://www.yellow-pages.ph/business/dpc-3/reviews,"I'm really attracted to use their app, it's really amazing. It allows me to find the businesses that I want to see. Two thumbs up "
Cost U Less Furniture & Interior Solutions,"5112, Filmore corner Curie Streets, Palanan, Makati City 1235 Metro Manila",+63(2)88326360,4.7  (7),https://www.yellow-pages.ph/business/cost-u-less-trade-ventures-2/reviews,"It's like the Ensogo for furnitures, you'll find discount after discount on all furnitures for your home, offices or your resto. So if you're planning that renovation or refurbishment for your home, Cost U Less offers their services to ensure your budget is met yet quality is not compromised."
Almadeco,"Almadeco Building, 75, Clemente Jose Street, Malibay, Pasay City 1300  Metro Manila",+63(2)88519848,4.5  (4),https://www.yellow-pages.ph/business/alfaj-marketing-development-corporation/reviews,:)
Teleperformance Philippines,"14/F, Octagon Building,  San Miguel Avenue, Pasig City, Metro Manila",+63(2)85560007,4.3  (11),https://www.yellow-pages.ph/business/teleperformance-philippines/reviews,"Feb 13, 2023 One of your recruits called me  (09209770308) for an initial interview and he offered me the ""NON-VOICE Financial Account"" so I said yes the interview went well and it ends that I will be receiving a call for the final interview."
Sambon Industrial Sales,"C.M. Recto Avenue, 1143, Gocheco Building, City of Manila, Metro Manila",+63(2)82549061,4.3  (6),https://www.yellow-pages.ph/business/sambon-industrial-sales-incorporated/reviews,This company is recommended! They give good quality and good service. 
Tierodman Auto Center,"246, P. Ocampo Extension corner Sampaloc Street, Barangay San Antonio, Makati City 1203  Metro Manila",+63(2)88992773,4.3  (3),https://www.yellow-pages.ph/business/tierodman-auto-center/reviews,Good day maam/sir. Meron po kayong transmission ng canter 4d36? 5 speed. tnx.
Certified Pest Control Services,"146-C, 3rd Street between 10th and 11th Avenue, Grace Park, Barangay 91, Caloocan City 1403  Metro Manila",+63(02)83611971,4.0  (6),https://www.yellow-pages.ph/business/certified-pest-control-services/reviews,how long para mapatay mga ipis? buhay pa din
Jt Max Power Equipment,"303, Verde Oro Building, 535, Commonwealth Avenue, Barangay Matandang Balara, Quezon City 1119  Metro Manila",+63(2)77455630,4.0  (4),https://www.yellow-pages.ph/business/jtmax-power-equipment-corporation/reviews,Their staff are very nice and friendly also the service was great and Good quality. Highly recommend it! 
Sanlex,"34, C-3 Road corner Dagat-dagatan Avenue, Caloocan City, Metro Manila",+63(02)82875495,4.0  (3),https://www.yellow-pages.ph/business/sanlex-roofmaster-center-company-incorporated/reviews,"Sanlex roof paint so thin, not good. Wala primer paint madaling matagal ang paint coating. Compare sa iba brand makapit ang paint ng iba brand, . Need ko pa mag re-paint after installation dahil ng mabasa ng ulan nag appear agad ang kalawang. Very dissapointed ako."
Standard Plastics,"Jojo Street, Baesa, Quezon City 1106  Metro Manila",+63(02)34557322,4.0  (1),https://www.yellow-pages.ph/business/standard-plastics-corporation/reviews, 
Sgp Junk Shop & General Merchandise,"Dr. Jose Fabella Road, NCMH Compound, Purok 3, Barangay Mauway, Mandaluyong City 1552  Metro Manila",+63(02)85355891,4.0  (1),https://www.yellow-pages.ph/business/sgp-junk-shop-general-merchandise/reviews, 
Man Great Security Agency,"JCL Building, 8206, Dr. A. Santos Avenue, San Isidro, Paranaque City 1700  Metro Manila",+63(02)88260410,4.0  (1),https://www.yellow-pages.ph/business/man-great-security-agency-corporation/reviews, 
Aqua-Pump Industrial,"52, P. Cruz Street, Old Zaniga, Mandaluyong City 1550  Metro Manila",+63(2)85351572,4.0  (1),https://www.yellow-pages.ph/business/aqua-pump-industrial-corporation/reviews, 
Golden Award Design And Trade,"18-B, Dagot Street, Manresa, Quezon City 1115  Metro Manila",+63(2)88781314,4.0  (1),https://www.yellow-pages.ph/business/golden-award-design-and-trade-corporation/reviews, 
Air-Rich Industrial Systems,"81, P. Sevilla Street corner 4th Avenue, Grace Park, Caloocan City 1400  Metro Manila",+63(2)83620596,4.0  (1),https://www.yellow-pages.ph/business/air-rich-industrial-systems-inc/reviews, 
Ace Cor Ambulance Service,"756, Instruccion Street, Sampaloc, City of Manila 1015  Metro Manila",+63(2)87495476,3.0  (2),https://www.yellow-pages.ph/business/ace-cor-ambulance-service/reviews, 
Orange Translations,"37/F, LKG Tower, 6801 Ayala Avenue, Makati City 1226 Metro Manila",+63(2)88360854,3.0  (2),https://www.yellow-pages.ph/business/orange-translations/reviews,Very Rude Management!!
Circulated Electrical & Industrial Supply,"8191, Dr. A. Santos Avenue, Sucat, Paranaque City, Metro Manila",+63(2)88205542,1.0  (1),https://www.yellow-pages.ph/business/circulated-electrical-industrial-supply/reviews,Sobrang mga bastos! Walang mga kwentang kausap sa phone regarding sa inquiries!
Peoplesupport,"12-14/F, Philamlife Tower, 8767 Ayala Avenue Corner Sen. Gil Puyat Avenue, Makati City, Metro Manila",+63(2)88858000,1.0  (1),https://www.yellow-pages.ph/business/peoplesupport-philippines-incorporated/reviews,2 thumbs down
